Test 46 | Seed 2414 | Reward 10.0
Test 47 | Seed 943 | Reward 9.0
Test 48 | Seed 3 | Reward 10.0
Test 49 | Seed 2724 | Reward 9.0
Test 50 | Seed 1826 | Reward 9.0
Test 51 | Seed 1272 | Reward 10.0
Test 52 | Seed 266 | Reward 10.0
Test 53 | Seed 911 | Reward 11.0
Test 54 | Seed 2655 | Reward 9.0
Test 55 | Seed 2639 | Reward 8.0
Test 56 | Seed 1055 | Reward 10.0
Test 57 | Seed 1573 | Reward 10.0
Test 58 | Seed 1524 | Reward 11.0
Test 59 | Seed 306 | Reward 8.0
Test 60 | Seed 2022 | Reward 10.0
Test 61 | Seed 2032 | Reward 10.0
Test 62 | Seed 1391 | Reward 10.0
Test 63 | Seed 1492 | Reward 9.0
Test 64 | Seed 1667 | Reward 11.0
Test 65 | Seed 2419 | Reward 8.0
Test 66 | Seed 80 | Reward 9.0
Test 67 | Seed 1268 | Reward 9.0
Test 68 | Seed 55 | Reward 9.0
Test 69 | Seed 2716 | Reward 9.0
Test 70 | Seed 375 | Reward 10.0
Test 71 | Seed 763 | Reward 9.0
Test 72 | Seed 1047 | Reward 10.0
Test 73 | Seed 101 | Reward 9.0
Test 74 | Seed 1304 | Reward 9.0
Test 75 | Seed 817 | Reward 9.0
Test 76 | Seed 1673 | Reward 9.0
Test 77 | Seed 331 | Reward 9.0
Test 78 | Seed 1438 | Reward 9.0
Test 79 | Seed 942 | Reward 10.0
Test 80 | Seed 2360 | Reward 9.0
Test 81 | Seed 2893 | Reward 10.0
Test 82 | Seed 144 | Reward 8.0
Test 83 | Seed 1409 | Reward 10.0
Test 84 | Seed 1571 | Reward 9.0
Test 85 | Seed 322 | Reward 10.0
Test 86 | Seed 1655 | Reward 10.0
Test 87 | Seed 754 | Reward 10.0
Test 88 | Seed 665 | Reward 9.0
Test 89 | Seed 969 | Reward 8.0
Test 90 | Seed 1310 | Reward 10.0
Test 91 | Seed 2616 | Reward 9.0
Test 92 | Seed 937 | Reward 8.0
Test 93 | Seed 1572 | Reward 10.0
Test 94 | Seed 1426 | Reward 9.0
Test 95 | Seed 1978 | Reward 10.0
Test 96 | Seed 1149 | Reward 10.0
Test 97 | Seed 2018 | Reward 8.0
Test 98 | Seed 1679 | Reward 8.0
Test 99 | Seed 2568 | Reward 9.0
Test 100 | Seed 2572 | Reward 10.0

Mean Test Reward: 9.35
Std Reward: 0.7262919523166975
9.35
2,Test 1 | Seed 1568 | Reward 9.0
Test 2 | Seed 2439 | Reward 9.0
Test 3 | Seed 1873 | Reward 10.0
Test 4 | Seed 2818 | Reward 10.0
Test 5 | Seed 318 | Reward 8.0
Test 6 | Seed 90 | Reward 9.0
Test 7 | Seed 1022 | Reward 9.0
Test 8 | Seed 1567 | Reward 9.0
